Overall Rating,Type Of Traveller,Seat Type,Arrival City,A Country UV,UVA Coordinates,Departure City,D Country UV,UVD Coordinates,Date Flown
8,Family Leisure,Economy  ,New York City,United States,,London,United Kingdom,,1/1/2020
3,Family Leisure,Economy  ,London,United Kingdom,,Los Angeles,United States,,12/1/2019
7,Couple Leisure,Business  ,Johannesburg,South Africa,,Cape Town,South Africa,,1/1/2020
8,Couple Leisure,Business  ,London,United Kingdom,,Johannesburg,South Africa,,1/1/2020
10,Couple Leisure,Business  ,Keflavik,Iceland,,London,United Kingdom,,1/1/2020
1,Couple Leisure,Economy  ,London,United Kingdom,,Vancouver,Canada,,1/1/2020
1,Family Leisure,Business  ,Los Angeles,United States,,London,United Kingdom,,1/1/2020
8,Solo Leisure,Economy  ,Cape Town,South Africa,,Brussels,Belgium,,12/1/2019
9,Solo Leisure,Economy  ,Sydney,Australia,,Toulouse,France,,12/1/2019
1,Couple Leisure,Economy  ,Frankfurt,Germany,,London,United Kingdom,,12/1/2019
1,Couple Leisure,Economy  ,,,,Belfast,United Kingdom,,12/1/2019
9,Solo Leisure,Business  ,London,United Kingdom,,Singapore,Singapore,,10/1/2019
8,Couple Leisure,Economy  ,London,United Kingdom,,Sydney,Australia,,11/1/2019
7,Couple Leisure,Business  ,London,United Kingdom,,Johannesburg,South Africa,,11/1/2019
10,Solo Leisure,Economy  ,London,United Kingdom,,Sydney,Australia,,11/1/2019
3,Solo Leisure,Economy  ,London,United Kingdom,,Glasgow,United Kingdom,,11/1/2019
9,Solo Leisure,Economy  ,London,United Kingdom,,Boston,United States,,11/1/2019
9,Couple Leisure,Business  ,London,United Kingdom,,Venice,Italy,,9/1/2019
3,Business,Economy  ,Zurich,Switzerland,,London,United Kingdom,,10/1/2019
1,Couple Leisure,Economy  ,London,United Kingdom,,Salzburg,Austria,,4/1/2019
8,Couple Leisure,Economy  ,Amman,Jordan,,London,United Kingdom,,9/1/2019
1,Couple Leisure,Economy  ,New York City,United States,,London,United Kingdom,,10/1/2019
9,Couple Leisure,Economy  ,London,United Kingdom,,Abu Dhabi,United Arab Emirates,,10/1/2019
8,Solo Leisure,Economy  ,London,United Kingdom,,Newcastle,United Kingdom,,10/1/2019
6,Solo Leisure,Economy  ,Calgary,Canada,,Gothenburg,Sweden,,9/1/2019
1,Couple Leisure,Premium Economy,Newark,United States,,Madrid,Spain,,10/1/2019
5,Couple Leisure,Business  ,Kos,Greece,,London,United Kingdom,,10/1/2019
4,Business,Business  ,London,United Kingdom,,Alicante,Spain,,9/1/2019
10,Couple Leisure,Business  ,London,United Kingdom,,Austin,United States,,9/1/2019
1,Couple Leisure,Economy  ,London,United Kingdom,,Jersey,United Kingdom,,9/1/2019
1,Family Leisure,Economy  ,Chicago,United States,,Zurich,Switzerland,,8/1/2019
5,Couple Leisure,Business  ,London,United Kingdom,,Kefalonia,Greece,,9/1/2019
2,Family Leisure,Economy  ,Orlando,United States,,London,United Kingdom,,9/1/2019
2,Couple Leisure,Business  ,London,United Kingdom,,Johannesburg,South Africa,,9/1/2019
10,Family Leisure,Economy  ,Chennai,India,,London,United Kingdom,,8/1/2019
2,Business,Business  ,Chicago,United States,,,,,8/1/2019
10,Family Leisure,Economy  ,New Orleans,United States,,London,United Kingdom,,11/1/2018
5,Solo Leisure,Economy  ,London,United Kingdom,,Dubai,United Arab Emirates,,8/1/2019
10,Family Leisure,Economy  ,London,United Kingdom,,Orlando,United States,,7/1/2019
2,Solo Leisure,Economy  ,,,,Glasgow,United Kingdom,,8/1/2019
1,Couple Leisure,Economy  ,London,United Kingdom,,Brussels,Belgium,,8/1/2019
1,Family Leisure,Economy  ,London,United Kingdom,,Faro,Portugal,,8/1/2019
8,Family Leisure,Economy  ,London,United Kingdom,,Sofia,Bulgaria,,7/1/2019
9,Couple Leisure,Economy  ,Buenos Aires,Argentina,,London,United Kingdom,,7/1/2019
1,Couple Leisure,Economy  ,London,United Kingdom,,Olbia,Italy,,7/1/2019
7,Solo Leisure,Economy  ,London,United Kingdom,,Vancouver,Canada,,6/1/2019
3,Solo Leisure,Economy  ,Newcastle,United Kingdom,,Delhi,India,,6/1/2019
3,Solo Leisure,Economy  ,London,United Kingdom,,Sydney,Australia,,6/1/2019
10,Couple Leisure,Economy  ,London,United Kingdom,,Seattle,United States,,5/1/2019
8,Couple Leisure,Business  ,Miami,United States,,London,United Kingdom,,4/1/2019
1,Business,Business  ,Madrid,Spain,,London,United Kingdom,,4/1/2019
2,Business,Business  ,Larnaca,Cyprus,,London,United Kingdom,,3/1/2019
10,Family Leisure,Economy  ,,,,New York,United States,,2/1/2019
3,Business,Economy  ,London,United Kingdom,,Tampa,United States,,1/1/2019
4,Business,Economy  ,London,United Kingdom,,Milan,Italy,,11/1/2018
7,Solo Leisure,Economy  ,London,United Kingdom,,Tenerife,Spain,,12/1/2018
3,Couple Leisure,Premium Economy,Nassau,Bahamas,,London,United Kingdom,,11/1/2018
1,Couple Leisure,Business  ,London,United Kingdom,,Milan Malpensa,Italy,,10/1/2018
1,Couple Leisure,First  ,Calgary,Canada,,Rome,Italy,,9/1/2018
1,Solo Leisure,Economy  ,Dublin,Ireland,,London,United Kingdom,,9/1/2018
9,Couple Leisure,First  ,London,United Kingdom,,Dubai,United Arab Emirates,,9/1/2018
7,Solo Leisure,Premium Economy,Glasgow,United Kingdom,,Miami,United States,,8/1/2018
10,Solo Leisure,Economy  ,London,United Kingdom,,Düsseldorf,Germany,,8/1/2018
1,Couple Leisure,Premium Economy,Los Angeles,United States,,London,United Kingdom,,5/1/2018
3,Couple Leisure,Economy  ,Tampa,United States,,London,United Kingdom,,5/1/2018
10,Couple Leisure,Economy  ,London,United Kingdom,,Chicago,United States,,4/1/2018
7,Solo Leisure,Economy  ,Belfast,United Kingdom,,,,,3/1/2018
5,Solo Leisure,Economy  ,Madrid,Spain,,,,,11/1/2017
2,Couple Leisure,Economy  ,,,,,,,10/1/2017
1,Couple Leisure,Economy  ,,,,,,,11/1/2017
8,Couple Leisure,Business  ,,,,,,,11/1/2017
