Overall Rating,Type Of Traveller,Seat Type,Arrival,A Country V,Departure,D Country V,Date Flown
10,Solo Leisure,Economy  ,Palma,Spain,London,United Kingdom,1/1/2023
10,Family Leisure,Economy  ,London,United Kingdom,Madrid,Spain,2/1/2023
10,Business,Economy  ,London,United Kingdom,Glasgow,United Kingdom,1/1/2023
2,Couple Leisure,Premium Economy,London,United Kingdom,Buenos Aires,Argentina,1/1/2023
4,Solo Leisure,Premium Economy,London,United Kingdom,Vancouver,Canada,1/1/2023
3,Solo Leisure,Economy  ,Faro,Portugal,London,United Kingdom,1/1/2023
9,Solo Leisure,First  ,,,Johannesburg,South Africa,1/1/2023
9,Couple Leisure,Business  ,Cape Town,South Africa,London,United Kingdom,1/1/2023
9,Couple Leisure,Business  ,,,,,1/1/2023
2,Solo Leisure,Business  ,,,,,12/1/2022
9,Family Leisure,Economy  ,,,,,12/1/2022
9,Couple Leisure,Business  ,,,,,1/1/2023
1,Solo Leisure,Economy  ,,,,,1/1/2023
4,Family Leisure,Economy  ,,,,,1/1/2023
1,Family Leisure,Business  ,,,,,1/1/2023
2,Business,Business  ,,,,,1/1/2023
8,Business,Economy  ,,,,,1/1/2023
6,Business,Economy  ,,,,,12/1/2022
4,Solo Leisure,Premium Economy,,,,,12/1/2022
3,Solo Leisure,Business  ,,,,,12/1/2022
1,Solo Leisure,Economy  ,,,,,12/1/2022
1,Family Leisure,Economy  ,,,,,12/1/2022
8,Couple Leisure,Economy  ,,,,,12/1/2022
3,Couple Leisure,First  ,,,,,12/1/2022
2,Solo Leisure,Economy  ,,,,,12/1/2022
5,Solo Leisure,Premium Economy,,,,,12/1/2022
6,Business,Business  ,,,,,12/1/2022
1,Couple Leisure,Business  ,,,,,12/1/2022
3,Business,Business  ,,,,,12/1/2022
6,Couple Leisure,Premium Economy,,,,,12/1/2022
3,Solo Leisure,Business  ,,,,,11/1/2022
4,Business,Business  ,,,,,12/1/2022
3,Family Leisure,Economy  ,,,,,12/1/2022
1,Business,Economy  ,,,,,12/1/2022
9,Solo Leisure,Business  ,,,,,6/1/2022
2,Solo Leisure,Economy  ,,,,,11/1/2022
7,Solo Leisure,Business  ,,,,,11/1/2022
7,Solo Leisure,Economy  ,,,,,1/1/2022
1,Solo Leisure,Economy  ,,,,,11/1/2022
4,Solo Leisure,Premium Economy,,,,,11/1/2022
1,Solo Leisure,Economy  ,,,,,8/1/2022
2,Solo Leisure,Business  ,,,,,11/1/2022
5,Solo Leisure,Economy  ,,,,,11/1/2022
1,Couple Leisure,Business  ,,,,,10/1/2022
1,Couple Leisure,Economy  ,,,,,7/1/2022
1,Solo Leisure,Economy  ,,,,,10/1/2022
6,Solo Leisure,Economy  ,,,,,10/1/2022
9,Solo Leisure,Business  ,,,,,10/1/2022
9,Solo Leisure,Business  ,,,,,10/1/2022
3,Family Leisure,Economy  ,,,,,10/1/2022
9,Couple Leisure,Business  ,,,,,10/1/2022
2,Solo Leisure,Business  ,,,,,9/1/2022
8,Solo Leisure,Economy  ,,,,,10/1/2022
1,Couple Leisure,Economy  ,,,,,10/1/2022
3,Solo Leisure,Economy  ,,,,,10/1/2022
8,Couple Leisure,Business  ,,,,,10/1/2022
9,Solo Leisure,Business  ,,,,,10/1/2022
10,Solo Leisure,Business  ,,,,,10/1/2022
3,Business,Economy  ,,,,,10/1/2022
7,Couple Leisure,Business  ,,,,,9/1/2022
8,Couple Leisure,Business  ,,,,,9/1/2022
3,Solo Leisure,Business  ,,,,,9/1/2022
9,Solo Leisure,Business  ,,,,,9/1/2022
1,Business,Economy  ,,,,,6/1/2022
10,Solo Leisure,Economy  ,,,,,9/1/2022
5,Couple Leisure,Economy  ,,,,,9/1/2022
1,Business,Business  ,,,,,9/1/2022
7,Couple Leisure,Business  ,,,,,9/1/2022
4,Couple Leisure,Economy  ,,,,,8/1/2022
1,Couple Leisure,Premium Economy,,,,,4/1/2022
9,Couple Leisure,Economy  ,,,,,8/1/2022
1,Solo Leisure,Business  ,,,,,6/1/2022
1,Solo Leisure,Economy  ,,,,,6/1/2022
1,Business,Business  ,,,,,6/1/2022
10,Couple Leisure,Economy  ,,,,,8/1/2022
1,Family Leisure,Economy  ,,,,,7/1/2022
1,Solo Leisure,Business  ,,,,,6/1/2022
2,Solo Leisure,Economy  ,,,,,11/1/2021
2,Solo Leisure,Economy  ,,,,,7/1/2022
8,Family Leisure,Business  ,,,,,7/1/2022
1,Solo Leisure,Economy  ,,,,,5/1/2022
1,Family Leisure,Economy  ,,,,,7/1/2022
5,Couple Leisure,Economy  ,,,,,5/1/2022
